This is a List of All Asset IDs
as the Decompiler often has to use an Asset's ID
because it can only GUESS what is an Asset and what is just a Number

Base Project Files:

Sprites: 1034
Objects: 307
Rooms: 183
Sounds: 48
Backgrounds: 33
Shaders: 3
Fonts: 2
Paths: 0
Timelines: 0
Scripts: 159
Extensions: 0

--------------------- SPRITES ---------------------
0 - spr_plug
1 - spr_cheeseblob
2 - spr_cheesemaker
3 - spr_railh2right
4 - spr_railh2left
5 - spr_railh2
6 - spr_railvdown
7 - spr_railvup
8 - spr_railv
9 - spr_railhright
10 - spr_railhleft
11 - spr_railh
12 - spr_noisecrusher_idle
13 - spr_noisecrusher_hitbox
14 - spr_noisecrusher_dead
15 - spr_noisecrusherhelmet_air
16 - spr_noisecrusher_air
17 - spr_noisecrusherhelmet_stun
18 - spr_noisecrusher_stun
19 - spr_noisecrusherhelmet_land
20 - spr_noisecrusher_land
21 - spr_noisecrusherhelmet_jump
22 - spr_noisecrusher_jump
23 - spr_noisecrusherhelmet_jumpprep
24 - spr_noisecrusher_jumpprep
25 - spr_noisecrusherhelmet_bounce
26 - spr_noisecrusher_bounce
27 - spr_noisey_dead
28 - spr_noisey_stun
29 - spr_noisey_walk
30 - spr_noisesatellitestun
31 - spr_noisesatellitedead
32 - spr_noisesatellite
33 - spr_noise_throwbomb
34 - spr_noise_dead
35 - spr_noise_throw
36 - spr_noise_button
37 - spr_noise_walk
38 - spr_noisecrusher_mask
39 - spr_noiseHUD_lowhealth
40 - spr_noiseHUD_hurt
41 - spr_noiseHUD_happy
42 - spr_noiseHUD_idle
43 - spr_noiseHUD_mach1
44 - spr_noiseHUD_mach2
45 - spr_mouthhitbox
46 - spr_hungrypillar_happy
47 - spr_hungrypillar_angry
48 - spr_hungrypillar_mouth
49 - spr_hungrypillar
50 - spr_cigar_land
51 - spr_cigar_fall
52 - spr_cigar_turn
53 - spr_cigar_walk
54 - spr_cigar_idle
55 - spr_sausageman_palette
56 - spr_sausagemannocigar_grabbed
57 - spr_sausageman_shot
58 - spr_sausageman_grabbed
59 - spr_sausagemannocigar_recovery
60 - spr_sausageman_recovery
61 - spr_sausagemannocigar_rolling
62 - spr_sausageman_rolling
63 - spr_sausagemannocigar_stun
64 - spr_sausageman_stun
65 - spr_sausagemannocigar_stunland
66 - spr_sausageman_stunland
67 - spr_sausagemannocigar_hitwall
68 - spr_sausageman_hitwall
69 - spr_sausagemannocigar_stomped
70 - spr_sausageman_stomped
71 - spr_sausagemannocigar_stunfall
72 - spr_sausageman_stunfall
73 - spr_sausagemannocigar_stunfalltrans
74 - spr_sausageman_stunfalltrans
75 - spr_sausagemannocigar_hitceilling
76 - spr_sausageman_hitceilling
77 - spr_sausagemannocigar_flying
78 - spr_sausageman_flying
